a.  un; una .  
airspace.  espacioa reo .  
airstrip.  pistadeaterrizaje .  
airtight.  herm tico .  
airwaves.  ondasderadio .  
airworthy.  encondicionesdevuelo .  
airy.  espacioso; aireado; airoso; despreocupado; desenfadado .  
aisle.  pasillo; navelateral .  
aitch.  hache .  
ajar.  entreabierto .  
a.  k.  a.  .  alsoknownas .  
akimbo.  enjarras .  
akin.  semejante; pariente; consanguineidad; parecido .  
alabaster.  alabastro .  
alack.  expresi ndepena .  
alacrity.  presteza; diligencia .  
alan.  perrograndeempleadoparacazaranimalessalvajes .  
alarm.  alarma; inquietud; despertador; alarmar; asustar .  
alarming.  alarmante .  
alarmist.  alarmista .  
alarum.  alarma; inquietud; temor .  
alas.  ay; desgraciadamente .  
alaska.  alaska .  
alaunt.  perrograndeempleadoparacazaranimalessalvajes .  
albania.  albania .  
albanian.  alban s .  
albatross.  albatros .  
albeit.  aunque .  
albino.  albino .  
album.   lbum .  
albumen.  albumen; alb mina .  
alchemist.  alquimista .  
alchemy.  alquimia .  
alcohol.  alcohol .  
 .  
alcoholic.  alcoh lico .  
alcoholism.  alcoholismo .  
alcove.  hueco; alcoba; nicho .  
alder.  aliso .  
alderman.  concejal .  
ale.  cerveza .  
alembic.  alambique .  
alert.  alarmante; despabilado; despierto; alerta; alertar .  
alertness.  vigilancia .  
alewife.  ciertopezparecidoalarenque; cervecera; tabernera .  
alfresco.  alairelibre .  
algae.  algas .  
algebra.   lgebra .  
algeria.  argelia .  
algerian.  argelino .  
algerita.  arbustodetexas,nuevom xicoym xicousadoparacurtir,delcualseobtieneuntinteamarilloyunatintaroja,ydecuyasbayassehacejalea .  
algiers.  argel .  
algorithm.  algoritmo .  
alias.  alias .  
alibi.  coartada .  
alien.  extranjero; extraterrestre; alien gena; extra o .  
alienate.  enajenar; alienar; alejar .  
alienation.  alienaci n .  
alight.  ardiendo; apearse; bajar; topar; posar .  
align.  alinear .  
alignment.  alineaci n; alineamiento .  
alike.  igual; parecido; igualmente .  
alimentary.  alimenticio .  
alimony.  alimentos; pensi nalimenticia .  
aliquot.  divisor; queest contenidoenotracosaunn meroexactodeveces .  
alive.  envida; vivo; animado; consciente .  
alkali.   lcali .  
alkaline.  alcalino .  
alkylate.  mezcladeparafinasl quidasqueseempleacomoagenteenlasmezclasdegasolinaparaaviaci n .  
all.  todo; completamente; totalmente; allin .  
all.  contodo; enresumen .  
all-around.  vers til .  
allay.  aliviar; disipar; apaciguar .  
allegation.  alegaci n .  
allege.  declarar; afirmar; pretender; aducir; alegar .  
alleged.  presunto; supuesto; pretendido .  
allegiance.  obediencia; fidelidad; lealtad .  
allegorical.  aleg rico .  
allegory.  alegor a .  
alleluia.  aleluya .  
allemande.  danzadesuabia; danzaalemana .  
allergic.  al rgico .  
allergy.  alergia .  
alleviate.  alivio; mitigar; aliviar .  
alleviation.  alivio .  
 .  
alley.  callej n .  
alleyway.  alley .  
alliance.  alianza .  
allied.  aliado; relacionado .  
allies.  aliados .  
alligator.  caim n .  
alliteration.  aliteraci n .  
allocate.  asignar; destinar .  
allocation.  asignaci n; distribuci n; reparto; cuota .  
allot.  asignar; adjudicar; destinar .  
allotment.  huerto; distribuci n; asignaci n; raci n; cuota .  
all-out.  contodassusfuerzas; am ximavelocidad .  
allow.  autorizar; permitir; dejar; reconocerallow .  
for.  tenerencuenta; dejar .  
allowable.  admisible; permitible; deducible .  
allowance.  pensi n; concesi n; asignaci n; dietas; descuento; tomakeallowances .  
for.  serindulgente .  
alloy.  aleaci n; mezcla .  
all-right.  bien .  
all-round.  polifac tico; vers til .  
allude.  aludir .  
allure.  atractivo; encanto .  
alluring.  atractivo; seductor; fascinante .  
allusion.  alusi n; referencia .  
alluvial.  aluvial .  
ally.  alianza; aliado; aliar .  
almanac.  almanaque .  
almighty.  grande; terrible; todopoderoso .  
almond.  almendra .  
almoner.  limosnero .  
almost.  casi; cercade .  
alms.  limosna .  
almshouse.  hospicio; casadecaridad .  
almuce.  capuchaconpielenlosbordesquellevabanloscan nigosyotroseclesi sticosantesdelareforma .  
aloe.   loe .  
aloft.  arriba; enalto .  
alone.  s lo; solamente .  
along.  alolargode .  
alongside.  juntoa; alladode .  
aloof.  fr o; reservado; distante; tobe/stand/keep .  
aloof.  mantenerseadistancia .  
aloofness.  frialdad; reserva; distanciamiento .  
aloud.  envozalta .  
alpha.  sobresaliente .  
alphabet.  abecedario; alfabeto; alphabet .  
soup.  sopadeletras .  
alphabetical.  alfab tico .  
alphabetical.  alfab tico .  
alphanumeric.  alfanum rico .  
alpine.  alpino .  
alps.  alpes .  
already.  ya .  
 .  
alright.  bien; deacuerdo .  
also.  as mismo; igualmente; tambi n; adem s .  
also-ran.  caballoquenologracolocarse; fracasado; ceroalaizquierda; perdedor .  
altar.  altar .  
altar-boy.  ac lito; monaguillo .  
alter.  cambiar; alterar; modificar .  
alteration.  alteraci n; cambio; modificaci n; arreglo; reforma .  
altercation.  altercado .  
alternate.  alternativo; alterno; alternar .  
alternation.  alternancia .  
alternative.  alternativa; alternativo; otro .  
alternator.  alternador .  
although.  aunque; sibien .  
altitude.  altitud .  
alto.  alto; contralto .  
altogether.  enteramente; deltodo; entotal; totalmente; completamente; engeneral .  
altruism.  altruismo .  
altruist.  altruista .  
altruistic.  altruista .  
alum.  alumbre; salblancayastringente .  
aluminium.  aluminio .  
aluminum.  aluminio .  
always.  siempre .  
amain.  atodaprisa .  
amalgamate.  fusionar; unir .  
amalgamation.  fusi n; uni n .  
amanuensis.  amanuense; personaqueescribealdictado .  
amass.  juntar; acumular; amontonar; amasar .  
amateur.  aficionado; chapucero; noprofesional .  
amateurish.  chapucero .  
amaze.  asombrar; extra ar; pasmar .  
amazement.  sorpresa; asombro; estupor .  
amazing.  asombroso; incre ble .  
amazon.  amazonas .  
amazonian.  amaz nico .  
ambassador.  embajador .  
amber.   mbar .  
ambergris.   mbargris; sustanciaqueseencuentraflotandoenalgunosmaresoenlasv scerasdelcachaloteyqueseusaenperfumer a .  
ambiance.  ambiente .  
ambidextrous.  ambidiestro .  
ambience.  ambiente .  
ambiguity.  ambig edad .  
ambiguous.  ambiguo; equ voco .  
ambition.  ambici n .  
ambitious.  ambicioso .  
ambivalence.  ambivalencia .  
ambivalent.  ambivalente .  
amble.  andarmuydespacio; andarsinprisa; deambular .  
ambulance.  ambulancia .  
ambush.  emboscada; cogerporsorpresa; tenderunaemboscada .  
 .  
ameba.  ameba .  
ameliorate.  mejorar .  
amelioration.  mejora .  
amen.  am n .  
amenable.  flexible; susceptible .  
amend.  rectificar; corregir; enmendar; tomakeamends .  
for.  resarcir; compensar; rectificar .  
amendment.  enmienda .  
amenities.  comodidades; servicios .  
amenity.  afabilidad; amenidad; cosaagradable .  
amerce.  multar .  
america.  estadosunidos; am rica .  
american.  norteamericano; estadounidense; americano .  
americanism.  americanismo .  
amethyst.  amatista .  
amiability.  amabilidad .  
amiable.  simp tico; afable; bonach n; amable; bondadoso .  
amicable.  amigable; amistoso .  
amid.  enmediode; entre .  
amidships.  enmediodelbarco .  
amidst.  entreamino .  
acid.  amino cido .  
amiss.  fueradelugar .  
amity.  concordia; amistad .  
ammo.  municiones .  
ammonia.  amon aco .  
ammunition.  munici n; municiones .  
amnesia.  amnesia .  
amnesiac.  amn sico .  
amnesty.  amnist a .  
amoeba.  ameba .  
amok.  torun .  
amok.  enloquecerse; desbocarse; atacarcomounloco .  
among.  entre; enmediode .  
amoral.  amoral .  
amorous.  apasionado .  
amorphous.  amorfo .  
amortization.  amortizaci n .  
amount.  cantidad; sumaamount .  
to.  ascendera; sumar; equivalera .  
amp.  amperio; amplificador .  
amphetamine.  anfetamina .  
amphibian.  anfibio .  
amphibious.  anfibioamphitheater, .  
amphitheatre.  anfiteatro .  
ample.  grande; extenso; abundante .  
amplification.  amplificaci n; aclaraci n .  
amplifier.  amplificador .  
amplify.  amplificar; desarrollar .  
ampoule.  ampolla .  
amputate.  amputar .  
amputation.  amputaci n .  
amuck.  torun .  
amuck.  enloquecer; desbocarse; desmandarse; atacarcomounloco .  
 .  
amuse.  divertir; entretener; distraer .  
amusement.  distracci n; entretenimiento; diversi n; amusement .  
park.  parquedeatracciones .  
amusing.  divertido; gracioso .  
an.  un; una .  
anachronism.  anacronismo .  
anachronistic.  anacr nico .  
anaemia.  anemia .  
anaemic.  an mico .  
anaesthesia.  anestesia .  
anaesthetic.  anest sico .  
anaesthetist.  anestesista .  
anaesthetize.  anestesiar .  
anagram.  anagrama .  
anal.  anal .  
analgesic.  analg sico .  
analog.  anal gico; equivalente .  
analogous.  an logo .  
analogue.  anal gico; equivalente .  
analogy.  analog a .  
analyse.  analizar .  
analysis.  an lisis .  
analyst.  analista; psicoanalistaanalytic, .  
analytical.  anal tico .  
analyze.  analizar .  
anarchic.  an rquico .  
anarchism.  anarquismo .  
anarchist.  anarquista .  
anarchy.  anarqu a .  
anathema.  anatema; cosamaldita .  
anatomical.  anat mico .  
anatomy.  anatom a .  
ancestor.  antepasado .  
ancestral.  ancestral .  
ancestry.  ascendencia .  
anchor.  ancla; anclar; echarelancla; sujetar .  
anchorage.  anclaje; fondeadero .  
anchorite.  anacoreta .  
anchorman.  presentador .  
anchorwoman.  presentadora .  
anchovy.  anchoa; boquer n .  
ancient.  anticuado; antiguo; viejo; estandarte; bandera .  
ancillary.  auxiliar; subordinado .  
and.  y .  
andalusia.  andaluc a .  
andalusian.  andaluz .  
andean.  andino .  
andes.  andes .  
andirons.  morillos; caballetesdehierroqueseponenenelhogarparasustentarlale a .  
andorra.  andorra .  
andorran.  andorrano .  
anecdotal.  anecd tico .  
 .  
anecdote.  an cdota .  
anemia.  anemia .  
anemic.  an mico .  
anemometer.  anem metro .  
anemone.  an mona .  
anesthesia.  anestesia .  
anesthetic.  anest sico .  
anew.  de .  
nuevo.  otravez .  
angel.   ngel .  
angelic.  angelical .  
anger.  c lera; enojo; ira; enfado; furor; enfadar; enojar .  
angina.  anginadepecho .  
angle.   ngulo; ladear; pescarconca aangle .  
for.  tratardeconseguir; iralacaza; tratardepescar .  
angler.  rape; pescadorconca a .  
anglican.  anglicano .  
anglicism.  anglicismoanglicise, .  
anglicize.  darformainglesaa .  
angling.  pescaconca a .  
anglo-saxon.  anglosaj n .  
angola.  angola .  
angolan.  angole o .  
angora.  angora .  
angry.  irritado; enfadado; enojado .  
angst.  congoja .  
anguish.  angustia; aflicci n; sufrimiento; dolor .  
anguished.  angustiado .  
angular.  angular; anguloso .  
animal.  animal .  
animate.  animado; vivo; animar .  
animated.  animado .  
animation.  animaci n .  
animosity.  animosidad; animadversi n .  
animus.  odio; rencor .  
anion.  ani n .  
aniseed.  an s .  
ankara.  ankara .  
anker.  antiguamedidaparavinosybebidasalcoh licasqueseempleabaenelnortedeeuropayequival aaunosochogalonesimperiales .  
ankle.  tobillo .  
anklebone.  huesodeltobillo .  
anklet.  ajorca; brazaleteparaeltobillo; calcet ncorto .  
ankus.  pinchoparaelefantes .  
annals.  anales .  
annex.  anexo; anexar; anexionar .  
annexe.  edificioanexo .  
annihilate.  aniquilar .  
annihilation.  aniquilaci n; aniquilamiento .  
anniversary.  aniversario .  
annotate.  anotar .  
annotation.  anotaci n .  
 .  
announce.  anunciar .  
announcement.  anuncio .  
announcer.  locutor .  
annoy.  molestar; fastidiar; irritar; hacerenfadar; aburrir .  
annoyance.  fastidio; molestia; enfado; enojo; aburrimiento .  
annoyed.  enfadado; enojado .  
annoying.  inoportuno; irritante; molesto .  
annual.  anuario; anual .  
annually.  anualmente .  
annuity.  anualidad; rentavitalicia .  
annul.  anular .  
annulment.  anulaci n .  
anode.   nodo .  
anodize.  someteraunmetalaunaacci nelectrol tica .  
anodyne.  drogaquesirveparacalmareldolor .  
anoint.  untar; ungir .  
anomalous.  an malo .  
anomaly.  anomal a .  
anon.  pronto; enseguida; everand .  
anon.  devezencuando; seeyou .  
anon.  hastaluego .  
anonymity.  anonimato .  
anonymous.  an nimo .  
anorak.  anorak .  
anorexia.  anorexia .  
anorexic.  anor xico .  
another.  otro .  
answer.  respuesta; contestador; soluci n; responder; contestar; abrir; corresponderaanswer .  
back.  contestarconimpertinenciaanswer .  
for.  responderde .  
answerable.  responsableanswering .  
machine.  contestadorautom tico .  
ant.  hormiga .  
antacid.  anti cido .  
antagonism.  antagonismo; hostilidad .  
antagonist.  adversario .  
antagonistic.  hostil .  
antagonize.  contrariar .  
antarctic.  ant rtico .  
antarctica.  ant rtida .  
ante.  apuesta .  
anteater.  osohormiguero .  
antebellum.  antesdelaguerra .  
antecedent.  antecedente .  
antelope.  ant lope .  
antenatal.  prenatal .  
antenna.  antena .  
anterior.  anterior .  
anthem.  motete; himno; c ntico; national .  
anthem.  himnonacional .  
anthill.  hormiguero .  
anthology.  antolog a .  
anthropological.  antropol gico .  
anthropologist.  antrop logo .  
 .  
anthropology.  antropolog a .  
anti-aircraft.  antia reo .  
antibiotic.  antibi tico .  
antibody.  anticuerpo .  
anticipate.  prevenir; prever; esperar; anticiparsea .  
anticipation.  expectaci n .  
anticlimax.  decepci n .  
anticlimactic.  decepcionante .  
anti-clockwise.  ensentidocontrarioalasagujasdelreloj .  
antics.  payasadas; correr as; travesuras .  
anticyclone.  anticicl n .  
antidote.  ant doto .  
antifreeze.  anticongelante .  
antihistamine.  antihistam nico .  
antilles.  antillas .  
antimacassar.  fundaprotectoraodecorativaparaelrespaldodeunasilla .  
antimony.  antimonio .  
antipathy.  antipat a; aversi n .  
antiperspirant.  antitranspirante .  
antipodean.  ant poda .  
antipodes.  ant podas .  
antiquarian.  anticuario .  
antiquated.  anticuado .  
antique.  antigualla; antig edad; antiguo; antique .  
dealer.  anticuario .  
antiquities.  antig edades .  
antiquity.  antig edad .  
anti-semitic.  antisemita .  
anti-semitism.  antisemitismo .  
antiseptic.  antis ptico .  
antisocial.  antisocial; insociable .  
antitheft.  antirrobo .  
antithesis.  ant tesis .  
antler.  cuerno; cornamenta .  
antlers.  cornamenta .  
antonym.  ant nimo .  
antsy.  nervioso; inquieto .  
antwerp.  amberes .  
anus.  ano .  
anvil.  yunque .  
anxiety.  ansiedad; inquietud; angustia; af n; ansias .  
anxious.  ansioso; preocupado; inquieto; deseoso .  
any.  alguno; cualquier; cualquiera .  
anybody.  cualquierpersona; alguien; nadie .  
anyhow.  decualquiermodo; detodasmaneras .  
anyone.  cualquierpersona; alguien .  
anything.  cualquiercosa; algo; nada .  
anyway.  entodocaso; detodosmodos .  
anywhere.  endondesea; dondequiera; encualquiersitio .  
aorta.  aorta .  
apace.  deprisa; r pidamente .  
apart.  separadamente; porseparado .  
apart .  
from.  prescindiendode; apartede .  
apartheid.  apartheid .  
apartment.  apartamento; piso; aposento; apartment .  
house.  bloquedepisos .  
apathetic.  ap tico; indiferente .  
apathy.  apat a .  
ape.  simio; mono; imitar .  
aperitif.  aperitivo .  
aperture.  abertura; rendija .  
